unknown,multifurcation,Fitch,My,Sankoff
0.95,0.00,87.15,52.3,90.16
0.95,0.05,87.15,52.32,89.91
0.95,0.10,87.36,52.33,90.14
0.95,0.15,87.26,52.33,90.1
0.95,0.20,87.37,52.32,89.96
0.95,0.25,87.42,52.32,90.06
0.95,0.30,87.7,52.37,90.14
0.95,0.35,88.02,52.37,90.25
0.95,0.40,87.69,52.38,89.95
0.95,0.45,87.84,52.41,89.93
0.95,0.50,88.11,52.45,90.19
0.95,0.55,88.09,52.48,90.19
0.95,0.60,88.05,52.54,90.25
0.95,0.65,87.49,52.62,90.05
0.95,0.70,86.76,52.71,90.32
0.95,0.75,85.39,52.79,90.42
0.95,0.80,81.09,52.88,90.42
0.95,0.85,75.64,52.97,90.53
0.95,0.90,68.43,53.07,90.41
