unknown,Fitch1,Fitch2,Fitch3,Fitch4
0.0,97.53,97.53,97.89,97.89
0.05,97.27,97.27,97.64,97.64
0.1,97.03,97.03,97.4,97.39
0.15,96.77,96.77,97.16,97.15
0.2,96.48,96.48,96.89,96.87
0.25,96.17,96.17,96.62,96.59
0.3,95.85,95.85,96.32,96.29
0.35,95.52,95.52,96.03,96.0
0.4,95.18,95.18,95.73,95.69
0.45,94.79,94.79,95.39,95.35
0.5,94.37,94.37,95.02,94.98
0.55,93.93,93.93,94.61,94.58
0.6,93.49,93.49,94.25,94.21
0.65,92.96,92.96,93.77,93.74
0.7,92.43,92.43,93.31,93.28
0.75,91.84,91.84,92.77,92.76
0.8,91.21,91.21,92.2,92.2
0.85,90.49,90.49,91.53,91.53
0.9,89.68,89.68,90.74,90.78
0.95,88.73,88.73,89.71,89.76

