unknown,multifurcation,Fitch,My,Sankoff
0.0,0.95,98.62,98.31,60.62
0.05,0.95,96.3,95.95,97.13
0.1,0.95,94.04,93.62,95.3
0.15,0.95,91.75,91.26,93.38

0.2,0.9,87.97,82.14,88.37
0.25,0.9,86.72,80.19,87.06
0.3,0.9,85.56,78.22,85.67
0.35,0.9,84.15,76.21,84.12
0.4,0.9,82.69,74.14,82.48
0.45,0.9,81.23,72.17,80.89
0.5,0.9,79.65,70.17,79.32
0.55,0.9,78.03,68.14,77.6
0.6,0.9,76.3,66.15,75.89
0.65,0.9,74.55,64.18,74.05
0.7,0.9,72.34,62.08,71.96
0.75,0.9,70.24,60.09,69.98
0.8,0.9,67.83,58.09,67.72
0.85,0.9,65.14,56.07,65.23
0.9,0.9,62.01,54.05,62.7
